"Computer,1
"DEZU",2
"E.,3
"Euler,4
"Euler's,5
"UNCOL,6
"What,7
"best",8
"metalinguistic,9
"overlapped.",10
"smalgol",11
"special,12
"system,13
&,14
("minimum-distance-three",15
(0,1),16
(1),17
(2),18
(A1,...,An),19
(ALgorithm,20
(Active,21
(Addendum),22
(Algorithm,23
(Algorithm),24
(Chinese,25
(Compensating,26
(Console,27
(Corrigenda),28
(Corrigendum),29
(Even,30
(Ferrite),31
(Honeywell,32
(June,33
(Odd,34
(Oracle,35
(Part,36
(The,37
(UNTAA).,38
(Z1,...,Zm),39
(a,B),40
(acf),,41
(barring,42
(columns,43
(conceptually),44
(e.g.,45
(ferrite),46
(including,47
(internal,48
(itself,49
(long,50
(n,51
(not,52
(of,53
(or,54
(rather,55
(relative,56
(supervisory,57
(where,58
+,59
-,60
--,61
-George,62
-II,63
1,64
1),65
1)/2,66
1-67),67
10,68
10),69
10-bit,70
100,71
1006,72
1007,73
101,74
1012,75
1015,76
102,77
1022,78
1023,79
1024,80
1025,81
1026,82
1028,83
1029,84
103,85
103),86
104,87
104),88
1040,89
1046,90
1047,91
1049,92
105,93
105),94
1050,95
1051,96
1053,97
106,98
106),99
1062,100
107,101
107),102
1072,103
108,104
108),105
1081,106
1083,107
1084,108
1087,109
109,110
109),111
1092,112
1093,113
1098,114
10:01,115
10:02,116
10:03,117
10:04,118
10:05,119
10:06,120
10:07,121
10:09,122
10:10,123
10:11,124
10:12,125
10:13,126
10:14,127
10:15,128
10:16,129
10:17,130
10:18,131
10:19,132
10:20,133
10:21,134
10:22,135
10:23,136
10:24,137
10:25,138
10:26,139
10:27,140
10:28,141
10:29,142
10:31,143
10:32,144
10:34,145
10:36,146
10:37,147
10:40,148
10:41,149
10:44,150
10:45,151
10:46,152
10:47,153
10:48,154
10:52,155
10:53,156
10:54,157
10:55,158
10:56,159
10:57,160
10:58,161
10:59,162
11,163
110,164
110),165
1100,166
1102,167
1104,168
1105,169
1107,170
1109,171
111,172
1112,173
112,174
112),175
1121,176
1122,177
1128,178
113,179
113),180
1130,181
1131,182
1132,183
1134,184
1135,185
1136,186
1137,187
1138,188
1139,189
114,190
114),191
1140,192
1141,193
1142,194
1146,195
1148,196
1149,197
115,198
115),199
1157,200
1159,201
116,202
116),203
1162,204
117,205
117),206
1172,207
1173,208
1175,209
1177,210
1179,211
118,212
118),213
1180,214
1184,215
1188,216
119,217
119),218
1190,219
1197,220
1198,221
11:00,222
11:01,223
11:03,224
11:08,225
11:09,226
11:10,227
11:13,228
11:14,229
11:16,230
11:20,231
11:27,232
11:34,233
11:35,234
11:36,235
11:37,236
11:38,237
11:39,238
11:40,239
11:42,240
11:44,241
11:45,242
11:47,243
11:49,244
11:50,245
11:51,246
11:53,247
11:57,248
11:59,249
12,250
120,251
120),252
1200,253
1205,254
121,255
121),256
1214,257
1215,258
1216,259
122,260
122),261
1222,262
1223,263
1226,264
1228,265
123,266
123),267
1234,268
1237,269
124,270
124),271
1241,272
1242,273
1248,274
125,275
125),276
1258,277
